ppm,S200538,S200624,S200627,S200725,S200547,S202042,S200796,S200793,S201032,S200610,S200607,S200820,S200071
PPM0.6925,388.281,546.5577,256.6496,1330.8617,454.2151,343.5717,635.3316,479.7356,266.345,242.7021,241.4411,319.1609,198.5546
PPM0.6915,375.0073,512.0993,249.8993,1257.9339,452.9165,307.9971,632.8236,491.1442,273.4277,251.2358,246.6284,306.12,197.8773
PPM0.6905,365.6388,513.2819,247.5249,1169.8674,442.7232,294.0968,620.0917,498.9089,270.2563,255.7929,239.0561,303.4288,186.9499
PPM0.6895,359.7717,514.6574,251.5886,1092.3453,425.3524,293.5959,594.1791,487.1863,281.7838,251.6195,235.9748,301.1883,177.8521
PPM0.6885,331.7791,493.3902,250.4585,1038.7265,403.6657,269.6308,582.2878,466.162,289.8509,240.8331,246.0105,304.317,163.2149
PPM0.6875,319.7704,485.1479,260.1095,972.0056,369.7889,257.056,565.6466,466.3394,291.8369,224.8995,261.3746,282.2819,169.5938
PPM0.6865,328.8772,483.8362,257.7367,888.1999,332.7391,266.9204,564.6208,441.7303,290.1205,214.9907,247.0639,266.0091,188.3597
PPM0.6855,358.8089,449.5568,245.5871,830.0652,303.5448,293.6961,534.2437,418.2211,280.2374,218.6026,232.3033,242.8728,160.8511
PPM0.6845,340.4476,424.0599,225.3985,812.2819,274.8698,284.0302,504.3511,416.8882,263.0471,212.3862,238.9904,223.5182,138.1572
PPM0.6835,305.0987,422.6382,232.6668,767.0378,280.4894,252.8463,479.5971,399.0754,256.5149,185.0975,238.2504,248.7281,130.9607
PPM0.6825,291.4165,412.9642,239.5898,714.3302,285.6534,221.0825,440.6875,383.5684,258.7749,202.8409,227.8957,256.836,142.4627
PPM0.6815,292.9507,416.0756,228.6817,684.51,286.7034,220.2166,415.1263,387.0447,256.3911,201.8742,223.2126,264.1737,160.4688
PPM0.6805,286.4764,392.587,221.8339,643.2984,296.6419,198.16,433.2961,371.8728,254.5402,190.3694,239.1088,253.3098,154.2129
PPM0.6795,300.4627,356.9612,215.6463,613.3685,294.0698,208.7216,447.8659,345.7581,250.0826,175.9586,252.5802,246.8818,161.1496
PPM0.6785,314.6728,338.8871,217.6581,593.9085,277.633,215.5927,436.1304,335.3806,228.2276,159.2236,230.1942,221.6554,167.4982
PPM0.6775,281.9571,326.4769,243.5922,579.4066,263.2468,209.7072,437.227,344.4825,186.1374,167.5767,210.6319,201.5303,158.7326
PPM0.6765,247.3531,352.8102,236.8006,564.2541,250.0534,215.3042,458.4204,345.6046,164.2897,176.9019,195.5747,224.557,152.4706
PPM0.6755,239.6415,337.4385,241.0986,561.6924,267.7345,208.7333,459.2557,322.6188,152.8063,165.9494,173.5437,254.9297,155.4328
PPM0.6745,235.4041,310.647,236.2646,550.3802,288.9108,214.1823,433.7668,294.7018,143.9467,150.8213,191.6641,261.5736,156.0154
PPM0.6735,211.2162,304.6929,225.2419,531.2477,272.7332,200.5336,428.2991,262.3535,159.3736,147.7302,209.5737,239.8783,137.1709
PPM0.6725,189.5626,314.4518,223.1787,516.9927,251.659,179.4882,423.313,275.6604,176.623,143.7986,213.5135,218.9422,130.9888
PPM0.6715,203.1881,295.6406,218.8021,498.3187,235.1865,199.6448,382.5932,311.3897,180.7503,153.2078,195.5379,208.6278,143.3119
PPM0.6705,201.5979,286.2805,232.5153,488.5932,206.9856,219.5355,391.1424,323.1568,180.6366,146.343,179.0624,216.8872,158.2937
PPM0.6695,214.2222,294.4337,231.1395,476.1085,197.0051,235.3413,409.5515,302.5063,157.0316,142.4762,190.8881,235.0523,154.1237
PPM0.6685,241.7899,312.5451,204.1165,485.9305,195.3129,230.07,423.4923,285.9297,165.7125,156.3845,192.8607,229.4925,134.5018
PPM0.6675,250.5497,302.5624,175.607,492.3769,187.3487,203.8241,403.9897,292.7448,159.9007,169.3932,179.6707,198.7806,128.348
PPM0.6665,250.0339,274.6002,186.2869,489.3885,192.0389,182.0326,395.5629,317.1491,135.8245,151.2533,160.997,182.0993,123.3592
PPM0.6655,248.5385,284.6481,178.7222,489.4945,224.5035,159.4631,401.0454,310.9252,126.6434,142.2592,180.1533,194.5601,135.6899
